Date,Accrued Interest,Cash Flow
3/31/2011,1.325,0
4/1/2011,1.3375,0
4/2/2011,1.35,0
4/3/2011,1.3625,0
4/4/2011,1.375,0
4/5/2011,1.3875,0
4/6/2011,1.4,0
4/7/2011,1.4125,0
4/8/2011,1.425,0
4/9/2011,1.4375,0
4/10/2011,1.45,0
4/11/2011,1.4625,0
4/12/2011,1.475,0
4/13/2011,1.4875,0
4/14/2011,1.5,0
4/15/2011,1.5125,0
4/16/2011,1.525,0
4/17/2011,1.5375,0
4/18/2011,1.55,0
4/19/2011,1.5625,0
4/20/2011,1.575,0
4/21/2011,1.5875,0
4/22/2011,1.6,0
4/23/2011,1.6125,0
4/24/2011,1.625,0
4/25/2011,1.6375,0
4/26/2011,1.65,0
4/27/2011,1.6625,0
4/28/2011,1.675,0
4/29/2011,1.6875,0
4/30/2011,1.7,0
5/1/2011,1.7125,0
5/2/2011,1.725,0
5/3/2011,1.7375,0
5/4/2011,1.75,0
5/5/2011,1.7625,0
5/6/2011,1.775,0
5/7/2011,1.7875,0
5/8/2011,1.8,0
5/9/2011,1.8125,0
5/10/2011,1.825,0
5/11/2011,1.8375,0
5/12/2011,1.85,0
5/13/2011,1.8625,0
5/14/2011,1.875,0
5/15/2011,1.8875,0
5/16/2011,1.9,0
5/17/2011,1.9125,0
5/18/2011,1.925,0
5/19/2011,1.9375,0
5/20/2011,1.95,0
5/21/2011,1.9625,0
5/22/2011,1.975,0
5/23/2011,1.9875,0
5/24/2011,2,0
5/25/2011,2.0125,0
5/26/2011,2.025,0
5/27/2011,2.0375,0
5/28/2011,2.05,0
5/29/2011,2.0625,0
5/30/2011,2.075,0
5/31/2011,2.0875,0
6/1/2011,2.1,0
6/2/2011,2.1125,0
6/3/2011,2.125,0
6/4/2011,2.1375,0
6/5/2011,2.15,0
6/6/2011,2.1625,0
6/7/2011,2.175,0
6/8/2011,2.1875,0
6/9/2011,2.2,0
6/10/2011,2.2125,0
6/11/2011,2.225,0
6/12/2011,2.2375,0
6/13/2011,2.25,0
6/14/2011,2.2625,0
6/15/2011,2.275,2.275
6/16/2011,0.012431693989071,0
6/17/2011,0.0248633879781421,0
6/18/2011,0.0372950819672131,0
6/19/2011,0.0497267759562842,0
6/20/2011,0.0621584699453552,0
6/21/2011,0.0745901639344262,0
6/22/2011,0.0870218579234973,0
6/23/2011,0.0994535519125683,0
6/24/2011,0.111885245901639,0
6/25/2011,0.12431693989071,0
6/26/2011,0.136748633879781,0
6/27/2011,0.149180327868852,0
6/28/2011,0.161612021857924,0
6/29/2011,0.174043715846995,0
6/30/2011,0.186475409836066,0
7/1/2011,0.198907103825137,0
7/2/2011,0.211338797814208,0
7/3/2011,0.223770491803279,0
7/4/2011,0.23620218579235,0
7/5/2011,0.248633879781421,0
7/6/2011,0.261065573770492,0
7/7/2011,0.273497267759563,0
7/8/2011,0.285928961748634,0
7/9/2011,0.298360655737705,0
7/10/2011,0.310792349726776,0
7/11/2011,0.323224043715847,0
7/12/2011,0.335655737704918,0
7/13/2011,0.348087431693989,0
7/14/2011,0.36051912568306,0
7/15/2011,0.372950819672131,0
7/16/2011,0.385382513661202,0
7/17/2011,0.397814207650273,0
7/18/2011,0.410245901639344,0
7/19/2011,0.422677595628415,0
7/20/2011,0.435109289617486,0
7/21/2011,0.447540983606557,0
7/22/2011,0.459972677595628,0
7/23/2011,0.472404371584699,0
7/24/2011,0.48483606557377,0
7/25/2011,0.497267759562842,0
7/26/2011,0.509699453551912,0
7/27/2011,0.522131147540984,0
7/28/2011,0.534562841530055,0
7/29/2011,0.546994535519126,0
7/30/2011,0.559426229508197,0
7/31/2011,0.571857923497268,0
8/1/2011,0.584289617486339,0
8/2/2011,0.59672131147541,0
8/3/2011,0.609153005464481,0
8/4/2011,0.621584699453552,0
8/5/2011,0.634016393442623,0
8/6/2011,0.646448087431694,0
8/7/2011,0.658879781420765,0
8/8/2011,0.671311475409836,0
8/9/2011,0.683743169398907,0
8/10/2011,0.696174863387978,0
8/11/2011,0.708606557377049,0
8/12/2011,0.72103825136612,0
8/13/2011,0.733469945355191,0
8/14/2011,0.745901639344262,0
8/15/2011,0.758333333333333,0
8/16/2011,0.770765027322404,0
8/17/2011,0.783196721311475,0
8/18/2011,0.795628415300546,0
8/19/2011,0.808060109289617,0
8/20/2011,0.820491803278689,0
8/21/2011,0.832923497267759,0
8/22/2011,0.845355191256831,0
8/23/2011,0.857786885245902,0
8/24/2011,0.870218579234973,0
8/25/2011,0.882650273224044,0
8/26/2011,0.895081967213115,0
8/27/2011,0.907513661202186,0
8/28/2011,0.919945355191257,0
8/29/2011,0.932377049180328,0
8/30/2011,0.944808743169399,0
8/31/2011,0.95724043715847,0
9/1/2011,0.969672131147541,0
9/2/2011,0.982103825136612,0
9/3/2011,0.994535519125683,0
9/4/2011,1.00696721311475,0
9/5/2011,1.01939890710383,0
9/6/2011,1.0318306010929,0
9/7/2011,1.04426229508197,0
9/8/2011,1.05669398907104,0
9/9/2011,1.06912568306011,0
9/10/2011,1.08155737704918,0
9/11/2011,1.09398907103825,0
9/12/2011,1.10642076502732,0
9/13/2011,1.11885245901639,0
9/14/2011,1.13128415300546,0
9/15/2011,1.14371584699454,0
9/16/2011,1.15614754098361,0
9/17/2011,1.16857923497268,0
9/18/2011,1.18101092896175,0
9/19/2011,1.19344262295082,0
9/20/2011,1.20587431693989,0
9/21/2011,1.21830601092896,0
9/22/2011,1.23073770491803,0
9/23/2011,1.2431693989071,0
9/24/2011,1.25560109289617,0
9/25/2011,1.26803278688525,0
9/26/2011,1.28046448087432,0
9/27/2011,1.29289617486339,0
9/28/2011,1.30532786885246,0
9/29/2011,1.31775956284153,0
9/30/2011,1.3301912568306,0
10/1/2011,1.34262295081967,0
10/2/2011,1.35505464480874,0
10/3/2011,1.36748633879781,0
10/4/2011,1.37991803278689,0
10/5/2011,1.39234972677596,0
10/6/2011,1.40478142076503,0
10/7/2011,1.4172131147541,0
10/8/2011,1.42964480874317,0
10/9/2011,1.44207650273224,0
10/10/2011,1.45450819672131,0
10/11/2011,1.46693989071038,0
10/12/2011,1.47937158469945,0
10/13/2011,1.49180327868852,0
10/14/2011,1.5042349726776,0
10/15/2011,1.51666666666667,0
10/16/2011,1.52909836065574,0
10/17/2011,1.54153005464481,0
10/18/2011,1.55396174863388,0
10/19/2011,1.56639344262295,0
10/20/2011,1.57882513661202,0
10/21/2011,1.59125683060109,0
10/22/2011,1.60368852459016,0
10/23/2011,1.61612021857923,0
10/24/2011,1.62855191256831,0
10/25/2011,1.64098360655738,0
10/26/2011,1.65341530054645,0
10/27/2011,1.66584699453552,0
10/28/2011,1.67827868852459,0
10/29/2011,1.69071038251366,0
10/30/2011,1.70314207650273,0
10/31/2011,1.7155737704918,0
11/1/2011,1.72800546448087,0
11/2/2011,1.74043715846995,0
11/3/2011,1.75286885245902,0
11/4/2011,1.76530054644809,0
11/5/2011,1.77773224043716,0
11/6/2011,1.79016393442623,0
11/7/2011,1.8025956284153,0
11/8/2011,1.81502732240437,0
11/9/2011,1.82745901639344,0
11/10/2011,1.83989071038251,0
11/11/2011,1.85232240437158,0
11/12/2011,1.86475409836066,0
11/13/2011,1.87718579234973,0
11/14/2011,1.8896174863388,0
11/15/2011,1.90204918032787,0
11/16/2011,1.91448087431694,0
11/17/2011,1.92691256830601,0
11/18/2011,1.93934426229508,0
11/19/2011,1.95177595628415,0
11/20/2011,1.96420765027322,0
11/21/2011,1.97663934426229,0
11/22/2011,1.98907103825137,0
11/23/2011,2.00150273224044,0
11/24/2011,2.01393442622951,0
11/25/2011,2.02636612021858,0
11/26/2011,2.03879781420765,0
11/27/2011,2.05122950819672,0
11/28/2011,2.06366120218579,0
11/29/2011,2.07609289617486,0
11/30/2011,2.08852459016393,0
12/1/2011,2.10095628415301,0
12/2/2011,2.11338797814208,0
12/3/2011,2.12581967213115,0
12/4/2011,2.13825136612022,0
12/5/2011,2.15068306010929,0
12/6/2011,2.16311475409836,0
12/7/2011,2.17554644808743,0
12/8/2011,2.1879781420765,0
12/9/2011,2.20040983606557,0
12/10/2011,2.21284153005464,0
12/11/2011,2.22527322404372,0
12/12/2011,2.23770491803279,0
12/13/2011,2.25013661202186,0
12/14/2011,2.26256830601093,0
12/15/2011,2.275,2.275
12/16/2011,0.012431693989071,0
12/17/2011,0.0248633879781421,0
12/18/2011,0.0372950819672131,0
12/19/2011,0.0497267759562842,0
12/20/2011,0.0621584699453552,0
12/21/2011,0.0745901639344262,0
12/22/2011,0.0870218579234973,0
12/23/2011,0.0994535519125683,0
12/24/2011,0.111885245901639,0
12/25/2011,0.12431693989071,0
12/26/2011,0.136748633879781,0
12/27/2011,0.149180327868852,0
12/28/2011,0.161612021857924,0
12/29/2011,0.174043715846995,0
12/30/2011,0.186475409836066,0
12/31/2011,0.198907103825137,0
1/1/2012,0.211338797814208,0
1/2/2012,0.223770491803279,0
1/3/2012,0.23620218579235,0
1/4/2012,0.248633879781421,0
1/5/2012,0.261065573770492,0
1/6/2012,0.273497267759563,0
1/7/2012,0.285928961748634,0
1/8/2012,0.298360655737705,0
1/9/2012,0.310792349726776,0
1/10/2012,0.323224043715847,0
1/11/2012,0.335655737704918,0
1/12/2012,0.348087431693989,0
1/13/2012,0.36051912568306,0
1/14/2012,0.372950819672131,0
1/15/2012,0.385382513661202,0
1/16/2012,0.397814207650273,0
1/17/2012,0.410245901639344,0
1/18/2012,0.422677595628415,0
1/19/2012,0.435109289617486,0
1/20/2012,0.447540983606557,0
1/21/2012,0.459972677595628,0
1/22/2012,0.472404371584699,0
1/23/2012,0.48483606557377,0
1/24/2012,0.497267759562842,0
1/25/2012,0.509699453551912,0
1/26/2012,0.522131147540984,0
1/27/2012,0.534562841530055,0
1/28/2012,0.546994535519126,0
1/29/2012,0.559426229508197,0
1/30/2012,0.571857923497268,0
1/31/2012,0.584289617486339,0
2/1/2012,0.59672131147541,0
2/2/2012,0.609153005464481,0
2/3/2012,0.621584699453552,0
2/4/2012,0.634016393442623,0
2/5/2012,0.646448087431694,0
2/6/2012,0.658879781420765,0
2/7/2012,0.671311475409836,0
2/8/2012,0.683743169398907,0
2/9/2012,0.696174863387978,0
2/10/2012,0.708606557377049,0
2/11/2012,0.72103825136612,0
2/12/2012,0.733469945355191,0
2/13/2012,0.745901639344262,0
2/14/2012,0.758333333333333,0
2/15/2012,0.770765027322404,0
2/16/2012,0.783196721311475,0
2/17/2012,0.795628415300546,0
2/18/2012,0.808060109289617,0
2/19/2012,0.820491803278689,0
2/20/2012,0.832923497267759,0
2/21/2012,0.845355191256831,0
2/22/2012,0.857786885245902,0
2/23/2012,0.870218579234973,0
2/24/2012,0.882650273224044,0
2/25/2012,0.895081967213115,0
2/26/2012,0.907513661202186,0
2/27/2012,0.919945355191257,0
2/28/2012,0.932377049180328,0
2/29/2012,0.944808743169399,0
3/1/2012,0.95724043715847,0
3/2/2012,0.969672131147541,0
3/3/2012,0.982103825136612,0
3/4/2012,0.994535519125683,0
3/5/2012,1.00696721311475,0
3/6/2012,1.01939890710383,0
3/7/2012,1.0318306010929,0
3/8/2012,1.04426229508197,0
3/9/2012,1.05669398907104,0
3/10/2012,1.06912568306011,0
3/11/2012,1.08155737704918,0
3/12/2012,1.09398907103825,0
3/13/2012,1.10642076502732,0
3/14/2012,1.11885245901639,0
3/15/2012,1.13128415300546,0
3/16/2012,1.14371584699454,0
3/17/2012,1.15614754098361,0
3/18/2012,1.16857923497268,0
3/19/2012,1.18101092896175,0
3/20/2012,1.19344262295082,0
3/21/2012,1.20587431693989,0
3/22/2012,1.21830601092896,0
3/23/2012,1.23073770491803,0
3/24/2012,1.2431693989071,0
3/25/2012,1.25560109289617,0
3/26/2012,1.26803278688525,0
3/27/2012,1.28046448087432,0
3/28/2012,1.29289617486339,0
3/29/2012,1.30532786885246,0
3/30/2012,1.31775956284153,0
3/31/2012,1.3301912568306,0
4/1/2012,1.34262295081967,0
4/2/2012,1.35505464480874,0
4/3/2012,1.36748633879781,0
4/4/2012,1.37991803278689,0
4/5/2012,1.39234972677596,0
4/6/2012,1.40478142076503,0
4/7/2012,1.4172131147541,0
4/8/2012,1.42964480874317,0
4/9/2012,1.44207650273224,0
4/10/2012,1.45450819672131,0
4/11/2012,1.46693989071038,0
4/12/2012,1.47937158469945,0
4/13/2012,1.49180327868852,0
4/14/2012,1.5042349726776,0
4/15/2012,1.51666666666667,0
4/16/2012,1.52909836065574,0
4/17/2012,1.54153005464481,0
4/18/2012,1.55396174863388,0
4/19/2012,1.56639344262295,0
4/20/2012,1.57882513661202,0
4/21/2012,1.59125683060109,0
4/22/2012,1.60368852459016,0
4/23/2012,1.61612021857923,0
4/24/2012,1.62855191256831,0
4/25/2012,1.64098360655738,0
4/26/2012,1.65341530054645,0
4/27/2012,1.66584699453552,0
4/28/2012,1.67827868852459,0
4/29/2012,1.69071038251366,0
4/30/2012,1.70314207650273,0
5/1/2012,1.7155737704918,0
5/2/2012,1.72800546448087,0
5/3/2012,1.74043715846995,0
5/4/2012,1.75286885245902,0
5/5/2012,1.76530054644809,0
5/6/2012,1.77773224043716,0
5/7/2012,1.79016393442623,0
5/8/2012,1.8025956284153,0
5/9/2012,1.81502732240437,0
5/10/2012,1.82745901639344,0
5/11/2012,1.83989071038251,0
5/12/2012,1.85232240437158,0
5/13/2012,1.86475409836066,0
5/14/2012,1.87718579234973,0
5/15/2012,1.8896174863388,0
5/16/2012,1.90204918032787,0
5/17/2012,1.91448087431694,0
5/18/2012,1.92691256830601,0
5/19/2012,1.93934426229508,0
5/20/2012,1.95177595628415,0
5/21/2012,1.96420765027322,0
5/22/2012,1.97663934426229,0
5/23/2012,1.98907103825137,0
5/24/2012,2.00150273224044,0
5/25/2012,2.01393442622951,0
5/26/2012,2.02636612021858,0
5/27/2012,2.03879781420765,0
5/28/2012,2.05122950819672,0
5/29/2012,2.06366120218579,0
5/30/2012,2.07609289617486,0
5/31/2012,2.08852459016393,0
6/1/2012,2.10095628415301,0
6/2/2012,2.11338797814208,0
6/3/2012,2.12581967213115,0
6/4/2012,2.13825136612022,0
6/5/2012,2.15068306010929,0
6/6/2012,2.16311475409836,0
6/7/2012,2.17554644808743,0
6/8/2012,2.1879781420765,0
6/9/2012,2.20040983606557,0
6/10/2012,2.21284153005464,0
6/11/2012,2.22527322404372,0
6/12/2012,2.23770491803279,0
6/13/2012,2.25013661202186,0
6/14/2012,2.26256830601093,0
6/15/2012,2.275,2.275
6/16/2012,0.012431693989071,0
6/17/2012,0.0248633879781421,0
6/18/2012,0.0372950819672131,0
6/19/2012,0.0497267759562842,0
6/20/2012,0.0621584699453552,0
6/21/2012,0.0745901639344262,0
6/22/2012,0.0870218579234973,0
6/23/2012,0.0994535519125683,0
6/24/2012,0.111885245901639,0
6/25/2012,0.12431693989071,0
6/26/2012,0.136748633879781,0
6/27/2012,0.149180327868852,0
6/28/2012,0.161612021857924,0
6/29/2012,0.174043715846995,0
6/30/2012,0.186475409836066,0
7/1/2012,0.198907103825137,0
7/2/2012,0.211338797814208,0
7/3/2012,0.223770491803279,0
7/4/2012,0.23620218579235,0
7/5/2012,0.248633879781421,0
7/6/2012,0.261065573770492,0
7/7/2012,0.273497267759563,0
7/8/2012,0.285928961748634,0
7/9/2012,0.298360655737705,0
7/10/2012,0.310792349726776,0
7/11/2012,0.323224043715847,0
7/12/2012,0.335655737704918,0
7/13/2012,0.348087431693989,0
7/14/2012,0.36051912568306,0
7/15/2012,0.372950819672131,0
7/16/2012,0.385382513661202,0
7/17/2012,0.397814207650273,0
7/18/2012,0.410245901639344,0
7/19/2012,0.422677595628415,0
7/20/2012,0.435109289617486,0
7/21/2012,0.447540983606557,0
7/22/2012,0.459972677595628,0
7/23/2012,0.472404371584699,0
7/24/2012,0.48483606557377,0
7/25/2012,0.497267759562842,0
7/26/2012,0.509699453551912,0
7/27/2012,0.522131147540984,0
7/28/2012,0.534562841530055,0
7/29/2012,0.546994535519126,0
7/30/2012,0.559426229508197,0
7/31/2012,0.571857923497268,0
8/1/2012,0.584289617486339,0
8/2/2012,0.59672131147541,0
8/3/2012,0.609153005464481,0
8/4/2012,0.621584699453552,0
8/5/2012,0.634016393442623,0
8/6/2012,0.646448087431694,0
8/7/2012,0.658879781420765,0
8/8/2012,0.671311475409836,0
8/9/2012,0.683743169398907,0
8/10/2012,0.696174863387978,0
8/11/2012,0.708606557377049,0
8/12/2012,0.72103825136612,0
8/13/2012,0.733469945355191,0
8/14/2012,0.745901639344262,0
8/15/2012,0.758333333333333,0
8/16/2012,0.770765027322404,0
8/17/2012,0.783196721311475,0
8/18/2012,0.795628415300546,0
8/19/2012,0.808060109289617,0
8/20/2012,0.820491803278689,0
8/21/2012,0.832923497267759,0
8/22/2012,0.845355191256831,0
8/23/2012,0.857786885245902,0
8/24/2012,0.870218579234973,0
8/25/2012,0.882650273224044,0
8/26/2012,0.895081967213115,0
8/27/2012,0.907513661202186,0
8/28/2012,0.919945355191257,0
8/29/2012,0.932377049180328,0
8/30/2012,0.944808743169399,0
8/31/2012,0.95724043715847,0
9/1/2012,0.969672131147541,0
9/2/2012,0.982103825136612,0
9/3/2012,0.994535519125683,0
9/4/2012,1.00696721311475,0
9/5/2012,1.01939890710383,0
9/6/2012,1.0318306010929,0
9/7/2012,1.04426229508197,0
9/8/2012,1.05669398907104,0
9/9/2012,1.06912568306011,0
9/10/2012,1.08155737704918,0
9/11/2012,1.09398907103825,0
9/12/2012,1.10642076502732,0
9/13/2012,1.11885245901639,0
9/14/2012,1.13128415300546,0
9/15/2012,1.14371584699454,0
9/16/2012,1.15614754098361,0
9/17/2012,1.16857923497268,0
9/18/2012,1.18101092896175,0
9/19/2012,1.19344262295082,0
9/20/2012,1.20587431693989,0
9/21/2012,1.21830601092896,0
9/22/2012,1.23073770491803,0
9/23/2012,1.2431693989071,0
9/24/2012,1.25560109289617,0
9/25/2012,1.26803278688525,0
9/26/2012,1.28046448087432,0
9/27/2012,1.29289617486339,0
9/28/2012,1.30532786885246,0
9/29/2012,1.31775956284153,0
9/30/2012,1.3301912568306,0
10/1/2012,1.34262295081967,0
10/2/2012,1.35505464480874,0
10/3/2012,1.36748633879781,0
10/4/2012,1.37991803278689,0
10/5/2012,1.39234972677596,0
10/6/2012,1.40478142076503,0
10/7/2012,1.4172131147541,0
10/8/2012,1.42964480874317,0
10/9/2012,1.44207650273224,0
10/10/2012,1.45450819672131,0
10/11/2012,1.46693989071038,0
10/12/2012,1.47937158469945,0
10/13/2012,1.49180327868852,0
10/14/2012,1.5042349726776,0
10/15/2012,1.51666666666667,0
10/16/2012,1.52909836065574,0
10/17/2012,1.54153005464481,0
10/18/2012,1.55396174863388,0
10/19/2012,1.56639344262295,0
10/20/2012,1.57882513661202,0
10/21/2012,1.59125683060109,0
10/22/2012,1.60368852459016,0
10/23/2012,1.61612021857923,0
10/24/2012,1.62855191256831,0
10/25/2012,1.64098360655738,0
10/26/2012,1.65341530054645,0
10/27/2012,1.66584699453552,0
10/28/2012,1.67827868852459,0
10/29/2012,1.69071038251366,0
10/30/2012,1.70314207650273,0
10/31/2012,1.7155737704918,0
11/1/2012,1.72800546448087,0
11/2/2012,1.74043715846995,0
11/3/2012,1.75286885245902,0
11/4/2012,1.76530054644809,0
11/5/2012,1.77773224043716,0
11/6/2012,1.79016393442623,0
11/7/2012,1.8025956284153,0
11/8/2012,1.81502732240437,0
11/9/2012,1.82745901639344,0
11/10/2012,1.83989071038251,0
11/11/2012,1.85232240437158,0
11/12/2012,1.86475409836066,0
11/13/2012,1.87718579234973,0
11/14/2012,1.8896174863388,0
11/15/2012,1.90204918032787,0
11/16/2012,1.91448087431694,0
11/17/2012,1.92691256830601,0
11/18/2012,1.93934426229508,0
11/19/2012,1.95177595628415,0
11/20/2012,1.96420765027322,0
11/21/2012,1.97663934426229,0
11/22/2012,1.98907103825137,0
11/23/2012,2.00150273224044,0
11/24/2012,2.01393442622951,0
11/25/2012,2.02636612021858,0
11/26/2012,2.03879781420765,0
11/27/2012,2.05122950819672,0
11/28/2012,2.06366120218579,0
11/29/2012,2.07609289617486,0
11/30/2012,2.08852459016393,0
12/1/2012,2.10095628415301,0
12/2/2012,2.11338797814208,0
12/3/2012,2.12581967213115,0
12/4/2012,2.13825136612022,0
12/5/2012,2.15068306010929,0
12/6/2012,2.16311475409836,0
12/7/2012,2.17554644808743,0
12/8/2012,2.1879781420765,0
12/9/2012,2.20040983606557,0
12/10/2012,2.21284153005464,0
12/11/2012,2.22527322404372,0
12/12/2012,2.23770491803279,0
12/13/2012,2.25013661202186,0
12/14/2012,2.26256830601093,0
12/15/2012,0,102.275
12/16/2012,0,0
12/17/2012,0,0
12/18/2012,0,0
12/19/2012,0,0
12/20/2012,0,0
12/21/2012,0,0
12/22/2012,0,0
12/23/2012,0,0
12/24/2012,0,0
12/25/2012,0,0
12/26/2012,0,0
12/27/2012,0,0
12/28/2012,0,0
12/29/2012,0,0
12/30/2012,0,0
12/31/2012,0,0
